Country Name,Year,Government expenditure,Government expenditure per primary student (%),Continent
Andorra,2002,7.7816,778.16,EU_no
Andorra,2004,7.97078,797.078,EU_no
Andorra,2005,7.43949,743.949,EU_no
Andorra,2006,9.72882,972.882,EU_no
Andorra,2007,9.91776,991.776,EU_no
Andorra,2009,15.70711,1570.711,EU_no
Andorra,2010,17.08411,1708.411,EU_no
Andorra,2011,17.79961,1779.961,EU_no
Andorra,2013,15.56091,1556.091,EU_no
Andorra,2014,13.02109,1302.109,EU_no
Andorra,2015,13.45657,1345.657,EU_no
Andorra,2016,12.74297,1274.297,EU_no
Andorra,2017,12.72411,1272.411,EU_no
Andorra,2018,12.30702,1230.702,EU_no
Argentina,1998,10.95099,1095.099,South America
Argentina,1999,12.42388,1242.388,South America
Argentina,2000,12.2987,1229.87,South America
Argentina,2001,13.80064,1380.064,South America
Argentina,2002,10.75649,1075.649,South America
Argentina,2003,10.47639,1047.639,South America
Argentina,2004,10.00318,1000.318,South America
Argentina,2005,10.53523,1053.523,South America
Argentina,2006,11.53286,1153.286,South America
Argentina,2007,12.6881,1268.81,South America
Argentina,2008,13.70256,1370.256,South America
Argentina,2009,14.80287,1480.287,South America
Argentina,2010,13.68048,1368.048,South America
Argentina,2011,14.20816,1420.816,South America
Argentina,2012,14.56387,1456.387,South America
Argentina,2013,14.38084,1438.084,South America
Argentina,2014,14.38654,1438.654,South America
Argentina,2015,15.64309,1564.309,South America
Argentina,2016,15.2222,1522.22,South America
Argentina,2017,14.97726,1497.726,South America
Aruba,1999,11.59103,1159.103,South America
Aruba,2000,13.06282,1306.282,South America
Aruba,2001,12.19509,1219.509,South America
Aruba,2002,13.78319,1378.319,South America
Aruba,2004,11.41266,1141.266,South America
Aruba,2005,12.21276,1221.276,South America
Aruba,2012,18.38443,1838.443,South America
Aruba,2013,17.36433,1736.433,South America
Aruba,2014,17.08119,1708.119,South America
Australia,2000,16.74596,1674.596,Oceania
Australia,2005,17.92028,1792.028,Oceania
Australia,2006,17.73229,1773.229,Oceania
Australia,2007,17.28608,1728.608,Oceania
Australia,2008,17.65014,1765.014,Oceania
Australia,2009,19.91991,1991.991,Oceania
Australia,2010,22.33566,2233.566,Oceania
Australia,2011,19.96941,1996.941,Oceania
Australia,2012,18.14095,1814.095,Oceania
Australia,2013,18.65626,1865.626,Oceania
Australia,2014,18.24146,1824.146,Oceania
Australia,2015,18.78482,1878.482,Oceania
Australia,2016,19.30184,1930.184,Oceania
Austria,1998,24.51562,2451.562,EU_yes
Austria,1999,24.35442,2435.442,EU_yes
Austria,2000,22.47593,2247.593,EU_yes
Austria,2001,22.44577,2244.577,EU_yes
Austria,2002,22.86316,2286.316,EU_yes
Austria,2003,22.60623,2260.623,EU_yes
Austria,2004,22.01719,2201.719,EU_yes
Austria,2005,22.61234,2261.234,EU_yes
Austria,2006,22.58595,2258.595,EU_yes
Austria,2007,22.16889,2216.889,EU_yes
Austria,2008,23.15767,2315.767,EU_yes
Austria,2009,25.12912,2512.912,EU_yes
Austria,2010,24.90171,2490.171,EU_yes
Austria,2011,24.58211,2458.211,EU_yes
Austria,2012,21.34553,2134.553,EU_yes
Austria,2013,22.85994,2285.994,EU_yes
Austria,2014,22.59552,2259.552,EU_yes
Austria,2015,23.20446,2320.446,EU_yes
Austria,2016,23.48041,2348.041,EU_yes
Barbados,1999,10.55182,1055.182,North America
Barbados,2000,14.11934,1411.934,North America
Barbados,2001,19.46455,1946.455,North America
Barbados,2002,17.83147,1783.147,North America
Barbados,2003,19.45603,1945.603,North America
Barbados,2004,19.83642,1983.642,North America
Barbados,2005,19.17852,1917.852,North America
Barbados,2008,22.13818,2213.818,North America
Barbados,2016,20.75168,2075.168,North America
Belize,1999,16.87322,1687.322,North America
Belize,2000,16.24497,1624.497,North America
Belize,2004,12.42717,1242.717,North America
Belize,2005,13.71514,1371.514,North America
Belize,2006,14.12419,1412.419,North America
Belize,2008,15.48145,1548.145,North America
Belize,2009,16.09631,1609.631,North America
Belize,2010,18.24662,1824.662,North America
Belize,2012,15.03615,1503.615,North America
Belize,2013,16.10865,1610.865,North America
Belize,2014,16.34612,1634.612,North America
Belize,2015,15.10773,1510.773,North America
Belize,2016,16.23127,1623.127,North America
Belize,2017,16.55987,1655.987,North America
